"100000","3","0","11","24","35","14288","6","15","33"
"100001","4","0","19","19","21","13057","13","22","25"
"100002","4","3","2","17","32","17242","1","15","26"
"100003","3","0","9","15","32","10156","10","10","10"
"100004","3","1","11","18","29","15061","14","14","14"
"100005","3","3","0","17","17","17666","3","17","17"
"100006","0","0","1","29","32","7521","0","7","14"
"100007","4","1",\N,"22","39","14915","2","21","34"
"100008","2","2","16","22","22","2085","8","8","10"
"100009","0","0","14","15","20","14151","7","18","30"
"100010","4","2","15","22","23","8729","13","20","20"
"100011","4","4","9","20","20","1786","10","19","19"
"100012","1","1","12","21","21","1741","8","9","13"
"100014","0","0","12","29","29","1122","3","3","9"
"100015","0","0","11","23","23","8793","4","8","25"
"100016","1","0","14","20","29","9808","10","16","31"
"100017","2","2","10","14","32","12145","8","22","22"
"100018","3","0","14","26","26","17604","7","11","20"
"100019","2","0","9","23","33","17062","11","15","30"
"100020","1","0","15","15","24","4723","3","12","13"
"100021","3","3","10","26","26","14676","12","19","28"
"100022","0","0","1","18","27","11977","5","17","17"
"100023","1","1","10","10","37","6134","11","21","21"
"100024","1","0","15","17","17","14358","6","18","29"
"100025","3","3","0","7","18","4756","14","14","17"
"100026","0","0","17","26","28","3828","10","21","21"
"100027","3","2",\N,"22","22","15080","1","17","27"
"100028","2","0","17","25","31","18526","14","21","21"
"100029","3","3","7","20","33","11336","4","11","12"
"100030","1","1","5","12","26","11681","12","12","14"
"100031","0","0","16","16","19","18906","14","15","25"
"100032","0","0","9","9","10","3145","1","20","32"
"100033","3","0","11","18","38","13528","2","10","12"
"100034","4","2","0","6","31","3725","1","24","27"
"100035","3","1","18","28","35","9751","7","11","24"
"100036","4","2","3","28","38","10123","3","11","33"
"100037","3","2","19","25","38","16575","5","16","21"
"100038","2","2","1","9","24","7007","0","17","24"
"100040","1","1","14","14","14","18623","1","20","22"
"100041","2","2","9","25","25","12843","7","7","7"
"100042","2","2","5","14","14","11630","5","9","29"
"100043","1","1","19","19","26","3376","1","6","33"
"100044","0","0","11","29","29","2028","3","6","32"
"100045","4","2","2","9","15","7275","4","20","21"
"100046","4","1","13","24","29","14316","4","22","30"
"100047","3","1",\N,"17","39","6392","14","21","21"
"100048","0","0","9","23","36","12409","3","3","19"
"100049","1","1","1","18","18","14009","3","9","23"
"100050","0","0","15","19","21","17060","10","22","22"
"100051","4","1","11","17","22","16175","10","10","29"
"100052","4","4","19","23","23","6607","6","17","17"
"100053","2","2","19","23","33","6851","9","20","32"
"100054","2","2","16","28","30","9159","3","20","28"
"100055","3","3","19","19","19","17047","4","6","18"
"100056","3","2","1","22","28","18286","6","20","20"
"100057","4","0","11","11","19","12424","5","15","33"
"100059","2","2","19","19","19","16457","6","18","28"
"100060","0","0","7","17","30","5816","1","14","27"
"100061","0","0","1","8","28","7480","2","13","13"
"100063","1","0","6","22","22","9911","1","8","14"
"100064","1","1","18","23","37","11393","9","20","20"
"100065","3","1","2","25","25","16865","4","14","14"
"100066","0","0","11","19","28","15896","3","4","7"
"100067","1","0","5","16","21","1914","7","17","28"
"100068","1","1","5","11","34","8264","2","5","21"
"100069","0","0","7","13","23","12934","10","10","34"
"100070","4","1","5","18","38","17117","10","10","31"
"100071","3","3","3","27","29","2054","8","19","19"
